2023-04-05 15:01:06.530 -03 [1812] LOG:  starting PostgreSQL 14.6, compiled by Visual C++ build 1914, 64-bit
2023-04-05 15:01:06.533 -03 [1812] LOG:  listening on IPv6 address "::", port 5432
2023-04-05 15:01:06.533 -03 [1812] LOG:  listening on IPv4 address "0.0.0.0", port 5432
2023-04-05 15:01:06.732 -03 [1056] LOG:  database system was interrupted; last known up at 2023-04-05 11:30:13 -03
2023-04-05 15:01:16.444 -03 [1056] LOG:  database system was not properly shut down; automatic recovery in progress
2023-04-05 15:01:16.461 -03 [1056] LOG:  redo starts at 0/21452D0
2023-04-05 15:01:16.461 -03 [1056] LOG:  invalid record length at 0/21453B8: wanted 24, got 0
2023-04-05 15:01:16.461 -03 [1056] LOG:  redo done at 0/2145380 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2023-04-05 15:01:16.530 -03 [1812] LOG:  database system is ready to accept connections
2023-04-05 15:04:46.251 -03 [5972] LOG:  could not send data to client: An existing connection was forcibly closed by the remote host.
	
2023-04-05 15:04:46.251 -03 [5972] FATAL:  connection to client lost
2023-04-05 15:15:10.734 -03 [5200] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2023-04-05 15:15:10.735 -03 [1800] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2023-04-05 15:15:10.735 -03 [2176] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2023-04-05 15:15:10.744 -03 [1644] LOG:  could not send data to client: An existing connection was forcibly closed by the remote host.
	
2023-04-05 15:15:10.744 -03 [1644] FATAL:  connection to client lost
2023-04-05 15:47:49.424 -03 [6628] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2023-04-05 15:47:49.424 -03 [5544] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2023-04-05 15:47:49.426 -03 [8] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2023-04-05 15:51:02.956 -03 [6440] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2023-04-05 16:16:28.027 -03 [6684] ERROR:  insert or update on table "colhedor" violates foreign key constraint "colhedor_codcei_fkey"
2023-04-05 16:16:28.027 -03 [6684] DETAIL:  Key (codcei)=(0) is not present in table "cei".
2023-04-05 16:16:28.027 -03 [6684] STATEMENT:  INSERT INTO colhedor ( guuidcolhedor, nome, cpf, numero, codfaz, codcei) VALUES ($1, $2, $3, $4, $5, $6)
2023-04-05 16:16:29.977 -03 [6276] ERROR:  insert or update on table "colhedor" violates foreign key constraint "colhedor_codcei_fkey"
2023-04-05 16:16:29.977 -03 [6276] DETAIL:  Key (codcei)=(0) is not present in table "cei".
2023-04-05 16:16:29.977 -03 [6276] STATEMENT:  INSERT INTO colhedor ( guuidcolhedor, nome, cpf, numero, codfaz, codcei) VALUES ($1, $2, $3, $4, $5, $6)
2023-04-05 16:16:31.437 -03 [1124] ERROR:  insert or update on table "colhedor" violates foreign key constraint "colhedor_codcei_fkey"
2023-04-05 16:16:31.437 -03 [1124] DETAIL:  Key (codcei)=(0) is not present in table "cei".
2023-04-05 16:16:31.437 -03 [1124] STATEMENT:  INSERT INTO colhedor ( guuidcolhedor, nome, cpf, numero, codfaz, codcei) VALUES ($1, $2, $3, $4, $5, $6)
2023-04-05 16:16:35.987 -03 [7052] ERROR:  insert or update on table "colhedor" violates foreign key constraint "colhedor_codfaz_fkey"
2023-04-05 16:16:35.987 -03 [7052] DETAIL:  Key (codfaz)=(0) is not present in table "fazenda".
2023-04-05 16:16:35.987 -03 [7052] STATEMENT:  INSERT INTO colhedor ( guuidcolhedor, nome, cpf, numero, codfaz, codcei) VALUES ($1, $2, $3, $4, $5, $6)
2023-04-05 16:16:36.505 -03 [1824] ERROR:  insert or update on table "colhedor" violates foreign key constraint "colhedor_codfaz_fkey"
2023-04-05 16:16:36.505 -03 [1824] DETAIL:  Key (codfaz)=(0) is not present in table "fazenda".
2023-04-05 16:16:36.505 -03 [1824] STATEMENT:  INSERT INTO colhedor ( guuidcolhedor, nome, cpf, numero, codfaz, codcei) VALUES ($1, $2, $3, $4, $5, $6)
2023-04-05 16:16:36.799 -03 [5748] ERROR:  insert or update on table "colhedor" violates foreign key constraint "colhedor_codfaz_fkey"
2023-04-05 16:16:36.799 -03 [5748] DETAIL:  Key (codfaz)=(0) is not present in table "fazenda".
2023-04-05 16:16:36.799 -03 [5748] STATEMENT:  INSERT INTO colhedor ( guuidcolhedor, nome, cpf, numero, codfaz, codcei) VALUES ($1, $2, $3, $4, $5, $6)
2023-04-05 16:19:37.806 -03 [592] ERROR:  update or delete on table "colhedor" violates foreign key constraint "vale_guuidcolhedor_fkey" on table "vale"
2023-04-05 16:19:37.806 -03 [592] DETAIL:  Key (guuidcolhedor)=(0210fcbf-e93b-44fe-ad36-846e57dfce9c) is still referenced from table "vale".
2023-04-05 16:19:37.806 -03 [592] STATEMENT:  DELETE FROM colhedor WHERE guuidcolhedor = $1
